,jurisdiction,booking_charge_desc,charge_count,seriousness,category,type,magda notes,notes,rcw,src
26,pierce,ANIMAL CRUELTY 1 (C),15,,class C felony,violent,,,16.52.205,https://app.leg.wa.gov/rcw/default.aspx?cite=16.52.205
541,pierce,FAIL TO OBEY,15,,misdemeanor,public order,,asame as failure to comply,46.61.022,https://app.leg.wa.gov/rcw/default.aspx?cite=46.61.022
577,pierce,FALSE REPORT,15,,gross misdemeanor,public order,,,9A.84.040,https://app.leg.wa.gov/rcw/default.aspx?cite=9A.84.040
778,pierce,INDECENT EXPOSURE,15,,misdemeanor,sex,,,9A.88.010,http://apps.leg.wa.gov/RCW/default.aspx?cite=9A.88.010
1069,pierce,PHONE HARAS /DV,15,,class C felony,public order,could be gross misd?,,9.61.230,http://app.leg.wa.gov/rcw/default.aspx?cite=9.61.230
1191,pierce,RACING,15,,gross misdemeanor,public order,,considered reckless driving,46.61.530,https://app.leg.wa.gov/rcw/default.aspx?cite=46.61.530
1366,pierce,SODA VIOL,15,,gross misdemeanor,drug,could be probation violation,"Marysville statute, SODA=Stay Out of Drugs Area ",http://www.codepublishing.com/WA/Marysville/html/Marysville06/Marysville0628.html,http://www.codepublishing.com/WA/Marysville/html/Marysville06/Marysville0628.html
1405,pierce,TAMPERING W/PHYSICAL EVIDENCE,15,,gross misdemeanor,public order,,,9A.72.150,https://app.leg.wa.gov/rcw/default.aspx?cite=9A.72.150
34,pierce,ANTI-HARASSMENT ORDER,14,,gross misdemeanor,public order,,can be class C felony depending on circumstances,26.50.110,http://app.leg.wa.gov/rcw/default.aspx?cite=26.50.110
190,pierce,CARRY CONCEALED WPN W/O PERMIT,14,,civil infraction,public order,,?,9.41.050,http://app.leg.wa.gov/rcw/default.aspx?cite=9.41.050
367,pierce,DEST PROPERTY,14,,gross misdemeanor,public order,,"? malicious mischief refers to property damage, but 3 levels",,
471,pierce,DUTY TO OBEY LAW ENFORCEMENT OFC,14,,misdemeanor,public order,,,46.61.022,https://app.leg.wa.gov/rcw/default.aspx?cite=46.61.022
803,pierce,INTIM PUB SERV,14,,class B felony,violent,,,9A.76.180,https://app.leg.wa.gov/rcw/default.aspx?cite=9A.76.180
1066,pierce,PETTY THEFT,14,,misdemeanor,property,,"theft in 3rd degree is considered ""petty theft"" according to the internet",9A.56.050,http://apps.leg.wa.gov/RCW/default.aspx?cite=9A.56.050
292,pierce,CRIM MISTREAT 2,13,,class C felony,violent,,,9A.42.030,https://app.leg.wa.gov/rcw/default.aspx?cite=9A.42.030
396,pierce,DISORDERLY CONDUCT(SIP),13,,misdemeanor,public order,,,9A.84.030,https://app.leg.wa.gov/rcw/default.aspx?cite=9A.84.030
692,pierce,HARASSMENT-THREATEN BODILY INJURY,13,,class C felony,violent,probably gross misd,,9a.46.020,http://apps.leg.wa.gov/RCW/default.aspx?cite=9a.46.020
767,pierce,INCEST 1,13,,class B felony,sex,,,9A.64.020.,http://apps.leg.wa.gov/rcw/default.aspx?cite=9A.64.020.
1105,pierce,POSS WEAP ON SCHOOL PROP,13,,gross misdemeanor,public order,,,9.41.280,http://app.leg.wa.gov/rcw/default.aspx?cite=9.41.280
1282,pierce,REND CRIM ASST 1,13,,class B felony,public order,,,9A.76.070,https://app.leg.wa.gov/rcw/default.aspx?cite=9A.76.070
1647,pierce,VEH OPR-REFUSE COMPLY POLICE,13,,misdemeanor,public order,,,46.61.020,https://app.leg.wa.gov/rcw/default.aspx?cite=46.61.020
1681,pierce,VIO. PROT. ORD - NON-DV,13,,gross misdemeanor,public order,,,26.50.110,http://app.leg.wa.gov/rcw/default.aspx?cite=26.50.110
338,pierce,CYBERSTALKING,12,,gross misdemeanor,public order,,can be class C felony,9.61.260,https://app.leg.wa.gov/rcw/default.aspx?cite=9.61.260
666,pierce,GRAFFITI VANDALISM,12,,gross misdemeanor,public order,,considered malicious mischief,9A.48.090.2C%20GRAFFITI,http://app.leg.wa.gov/RCW/default.aspx?cite=9A.48.090.2C%20GRAFFITI
761,pierce,IM UPCS W INT,12,,class B/C felony,drug,,class of felony depends on schedule of the drug,69.50.401,http://app.leg.wa.gov/rcw/default.aspx?cite=69.50.401
802,pierce,INTIM PUB SER,12,,class B felony,violent,,,9A.76.180,https://app.leg.wa.gov/rcw/default.aspx?cite=9A.76.180
863,pierce,LURING,12,,class C felony,violent ,,,9A.40.090,http://apps.leg.wa.gov/rcw/default.aspx?cite=9A.40.090
953,pierce,MONEY LAUNDERING,12,,FELONY CLASS B,property,,,9A.83.020,
1156,pierce,PRISONER POSS CS,12,,class C felony,drug,,,9.94.041,http://app.leg.wa.gov/rcw/default.aspx?Cite=9.94.041
1497,pierce,THFT RENT/LEAS PROP,12,,gross misdemeanor,property,,can increase in charge severtiy with value of property increasing ,9A.56.096,http://apps.leg.wa.gov/rcw/default.aspx?cite=9A.56.096
279,pierce,CONTEMPT OF COURT,11,,misdemeanor,public order,?,fines,7.21,http://app.leg.wa.gov/rcw/default.aspx?cite=7.21&full=true
468,pierce,DUTY IF INJURY OCCURS - VEH ACC,11,,class C felony,public order,could be gross misd. ,,46.52.020,https://app.leg.wa.gov/rcw/default.aspx?cite=46.52.020
667,pierce,HAB OFFENDER,11,,other,public order,,,46.65.010,http://app.leg.wa.gov/RCW/default.aspx?cite=46.65.010
813,pierce,INTRO CONTRA 1,11,,class B felony,public order,,,9A.76.140,https://app.leg.wa.gov/rcw/default.aspx?cite=9A.76.140
861,pierce,LOITER FOR PROSTITUTION,11,,misdemeanor,public order,,referenced as an offense but can't find specific charge. would assume its misdemeanor like prostitution charge,13.40.213,http://app.leg.wa.gov/RCW/default.aspx?cite=13.40.213
993,pierce,OBSTRUCT /DV,11,,misdemeanor,public order,???,,46.20.005,http://apps.leg.wa.gov/rcw/default.aspx?cite=46.20.005
1009,pierce,OBTAIN CS BY FRAUD,11,,class C felony,drug,,,69.50.403,https://app.leg.wa.gov/rcw/default.aspx?cite=69.50.403
1237,pierce,RECK BURN 2,11,,gross misdemeanor,property,,,9A.48.050,https://app.leg.wa.gov/rcw/default.aspx?cite=9A.48.050
1244,pierce,RECKLES ENDANGER OF HI-WAY WORKER,11,,gross misdemeanor,public order,,don't know why they needed a new crime just for these ,46.61.527,https://app.leg.wa.gov/rcw/default.aspx?cite=46.61.527
1679,pierce,VIO REST OR /DV,11,,gross misdemeanor,public order,could be Class C ambiguous,,26.50.110,http://app.leg.wa.gov/rcw/default.aspx?cite=26.50.110
1686,pierce,VIOL DISTRUB CS TO MINOR UNDER 18,11,,class C felony,public order,,assume class C felony as with other controlled substances violations but no specific findings ,69.50.401,http://app.leg.wa.gov/rcw/default.aspx?cite=69.50.401
19,pierce,ALT ID MARKS,10,,unknown,public order,,"RCW only refers to exceptions, doesn't list seriousness",9.41.140,https://app.leg.wa.gov/rcw/default.aspx?cite=9.41.140
51,pierce,ASLT CHILD 1ST,10,,class A felony,violent,,,9A.36.120,https://app.leg.wa.gov/rcw/default.aspx?cite=9A.36.120
57,pierce,ASLT/DV STRANGULATION,10,,class C felony,violent,probably assault 2,ambiguous,9A.36.041,http://app.leg.wa.gov/rcw/default.aspx?cite=9A.36.041
132,pierce,ATT MURDER 2,10,,class A felony,violent,,see criminal attempt RCW,9A.28.020,https://app.leg.wa.gov/rcw/default.aspx?cite=9A.28.020
375,pierce,DISARMING P.O.,10,,class C felony,public order,,,9A.76.023,https://app.leg.wa.gov/rcw/default.aspx?cite=9A.76.023
722,pierce,HOLD - ORDER OF RETRN,10,,other,other,,,,
807,pierce,INTIM WITNESS,10,,class B felony,violent,,÷,9A.72.110,https://app.leg.wa.gov/rcw/default.aspx?cite=9A.72.110
815,pierce,INTRO CONTRA 3,10,,misdemeanor,public order,,,9A.76.160,https://app.leg.wa.gov/rcw/default.aspx?cite=9A.76.160
845,pierce,LEADING ORGANIZED CRIME/ORG/MANAGE,10,,class A felony,public order,,,9A.82.060,https://app.leg.wa.gov/rcw/default.aspx?cite=9A.82.060
960,pierce,NARCOTICS - CONTR SUB,10,,class C felony,drug,,anything other than MJ = B/C felony,,
1189,pierce,PUBLIC DISTURBANCE,10,,gross misdemeanor,public order,,"actually a number of other specific crimes that range in severity, see source ",9A.84,https://app.leg.wa.gov/rcw/default.aspx?cite=9A.84&full=true
1236,pierce,RECK BURN 1,10,,class C felony,property,,,9A.48.040,https://app.leg.wa.gov/rcw/default.aspx?cite=9A.48.040
1271,pierce,REFUSE INFO,10,,misdemeanor,public order,,,46.61.020,https://app.leg.wa.gov/rcw/default.aspx?cite=46.61.020
1537,pierce,TRESP PUB,10,,misdemeanor,public order,,trespassing public is not a charge in RCW,,
1563,pierce,UNL POSS FICT ID,10,,class C felony,public order,,,9A.56.320,https://app.leg.wa.gov/rcw/default.aspx?cite=9A.56.320
1566,pierce,UNL PROD PAYMENT INSTR,10,,class C felony,public order,,unlawful production of payment instructions returns no results ,,
1673,pierce,VIO ANTI HARRASS,10,,gross misdemeanor,public order,,,26.50.110,http://app.leg.wa.gov/rcw/default.aspx?cite=26.50.110
27,pierce,ANIMAL CRUELTY 2,9,,gross misdemeanor,violent,,public order?,16.52.207,https://app.leg.wa.gov/rcw/default.aspx?cite=16.52.207
284,pierce,COUNTERFEITING,9,,misdemeanor,property,I think this is a felony,can be gross misdemeanor or class C felony,9.16.035,https://app.leg.wa.gov/rcw/default.aspx?cite=9.16.035
348,pierce,DEAL DEP MIN ENG SEX EXP CONDUCT,9,,class B felony,sex,,,9.68a#9.68A.050,http://app.leg.wa.gov/rcw/default.aspx?cite=9.68a&full=true#9.68A.050
623,pierce,FLD TO OBEY POLICE OFFICER,9,,misdemeanor,public order,,,46.61.022,https://app.leg.wa.gov/rcw/default.aspx?cite=46.61.022
1088,pierce,POSS INJ DEVICE,9,,misdemeanor,drug,,covered under paraphanelia ,69.50.412,https://app.leg.wa.gov/rcw/default.aspx?cite=69.50.412
1270,pierce,RECREATIONAL FISHING 2ND DEGREE,9,,gross misdemeanor,public order,probably simple misd,,77.15.380,https://app.leg.wa.gov/rcw/default.aspx?cite=77.15.380
1274,pierce,REFUSE TO GIVE INFO/COOPERATE W/0,9,,misdemeanor,public order,,,46.61.020,https://app.leg.wa.gov/rcw/default.aspx?cite=46.61.020
1332,pierce,SEX EXPLOIT MINOR,9,,class B felony,sex,,,9.68A.040,https://app.leg.wa.gov/rcw/default.aspx?cite=9.68A.040
1695,pierce,VIOL PROT ORD,9,,gross misdemeanor,public order,,,26.50.110,http://app.leg.wa.gov/rcw/default.aspx?cite=26.50.110
16,pierce,ALIEN IN POSSESSION OF FIREARM,8,,class C felony,public order,,public order?,9.41.171,https://app.leg.wa.gov/rcw/default.aspx?cite=9.41.171
20,pierce,ALTER ID MARKS ON FIREARM,8,,unknown,public order,,"RCW only refers to exceptions, doesn't list seriousness",9.41.140,https://app.leg.wa.gov/rcw/default.aspx?cite=9.41.140
191,pierce,CARRYDANGWPNKNIFE,8,,gross misdemeanor,public order,,,9.41.250,https://app.leg.wa.gov/rcw/default.aspx?cite=9.41.250
226,pierce,COMM MINOR IMM,8,,gross misdemeanor,sex,can be class C,can be felony if previous sexual offender,9.68a.090,http://apps.leg.wa.gov/rcw/default.aspx?cite=9.68a.090
570,pierce,FALSE IDENTIFICAITON,8,,misdemeanor,public order,,,46.20.0921,https://app.leg.wa.gov/rcw/default.aspx?cite=46.20.0921
740,pierce,HUMAN TRAFFICKING 2,8,,class A felony,violent,,,9a.40.100,http://apps.leg.wa.gov/rcw/default.aspx?cite=9a.40.100
789,pierce,INTERF PO,8,,gross misdemeanor,public order,,,,
855,pierce,LITTERING,8,,civil infraction,public order,,,70.93.060,http://app.leg.wa.gov/rcw/default.aspx?cite=70.93.060
1021,pierce,OPER VEH W/O VAL CERT OF OWNER,8,,misdemeanor,public order,???,its illegal but charge not specified,46.12.520,https://app.leg.wa.gov/rcw/default.aspx?cite=46.12.520
1104,pierce,POSS UNLAWFUL FIREARM,8,,class C felony,public order,,class of felony depends on 1st or 2nd degree,9.41.040,http://app.leg.wa.gov/rcw/default.aspx?cite=9.41.040
1119,pierce,POSSESS PISTOL BY PERS AGE 18 T0 21,8,,misdemeanor,public order,I think this is felony,"unlawful but charge not specified, could be the same as possession of unlawful firearm ",9.41.240,http://app.leg.wa.gov/rcw/default.aspx?cite=9.41.240
1157,pierce,PROB VIOL (PROST),8,,other,public order,,"seems like it they would be charged with the new crime, whatever it be, and then a parole violation is separate and up to the PO's discretion ",9.94A.737,http://app.leg.wa.gov/rcw/default.aspx?cite=9.94A.737
1240,pierce,RECK ENDANG /DV,8,,gross misdemeanor,public order,,,9a.36.050,http://app.leg.wa.gov/RCW/default.aspx?cite=9a.36.050
1387,pierce,SUPP LIQ MINOR,8,,gross misdemeanor,public order,,,66.44.270,http://apps.leg.wa.gov/rcw/default.aspx?cite=66.44.270
1577,pierce,UNLAW POSS PERSONAL IDENT DEVICE,8,,class C felony,public order,,,9A.56.320,https://app.leg.wa.gov/rcw/default.aspx?cite=9A.56.320
1578,pierce,UNLAW SALE CS,8,,class C felony,drug ,,,69.50.401,http://app.leg.wa.gov/rcw/default.aspx?cite=69.50.401
218,pierce,CIVIL FAMILY COURT,7,,other,public order,failure to pay child support?/ not a crime,?,,
308,pierce,CRIMINAL CONSPIRACY,7,,other,other,,depends on nature of crime,9A.28.040,https://app.leg.wa.gov/rcw/default.aspx?cite=9A.28.040
524,pierce,EXTOR 1,7,,class B felony,violent,,,9A.56.120,https://app.leg.wa.gov/rcw/default.aspx?cite=9A.56.120
537,pierce,FAIL TO DISPERSE,7,,misdemeanor,public order,,,9A.84.020,https://app.leg.wa.gov/rcw/default.aspx?cite=9A.84.020
571,pierce,FALSE IDENTIFICATION,7,,misdemeanor,public order,,,46.20.0921,https://app.leg.wa.gov/rcw/default.aspx?cite=46.20.0921
769,pierce,INCEST 2,7,,class C felony,sex,,,9A.64.020.,http://apps.leg.wa.gov/rcw/default.aspx?cite=9A.64.020.
792,pierce,INTERFER. W/HEALTH CARE FACILITY,7,,gross misdemeanor,public order,,,9A.50.030,https://app.leg.wa.gov/rcw/default.aspx?cite=9A.50.030
814,pierce,INTRO CONTRA 2,7,,class C felony,public order,,,9A.76.150,https://app.leg.wa.gov/rcw/default.aspx?cite=9A.76.150
860,pierce,LOADED PISTOL IN VEH.,7,,misdemeanor,public order,,,9.41.050,http://app.leg.wa.gov/rcw/default.aspx?cite=9.41.050
920,pierce,MANSLAUGHTER 2,7,,class B felony,violent,,,9A.32.060,http://apps.leg.wa.gov/RCW/default.aspx?cite=9A.32.060
944,pierce,MINOR OP VEH/ALC CONS,7,,misdemeanor,public order,,,46.61.503,http://app.leg.wa.gov/rcw/default.aspx?cite=46.61.503
992,pierce,OBSTR. PED./TRAFFIC,7,,misdemeanor,public order,,,,
1091,pierce,POSS LEGEND DRUG/INTENT TO SELL,7,,class B felony,drug,,,69.41.030,http://app.leg.wa.gov/rcw/default.aspx?cite=69.41.030
1499,pierce,THREAT TO BOMB OR INJURE PROPERTY,7,,class B felony,property,,,9.61.160,http://app.leg.wa.gov/rcw/default.aspx?cite=9.61.160
1595,pierce,UNLAWFUL INHALATION,7,,misdemeanor,drug ,,,9.47A.050,http://app.leg.wa.gov/RCW/default.aspx?cite=9.47A.050
222,pierce,COERCION,6,,gross misdemeanor,public order,,,9A.36.070,https://app.leg.wa.gov/rcw/default.aspx?cite=9A.36.070
247,pierce,CONDUCT ACTIVITY W/O LICENSE,6,,unknown,other,probably misdemeanor,,,
369,pierce,DESTRUCTION OF EVIDENCE,6,,class C felony,public order,,,33.36.060,https://app.leg.wa.gov/rcw/default.aspx?cite=33.36.060
378,pierce,DISCHARGE OF FIREARMS PROHIBITED,6,,gross misdemeanor,public order,,,9.41.230,http://app.leg.wa.gov/rcw/default.aspx?cite=9.41.230
535,pierce,FAIL TO COMPLY,6,,misdemeanor,public order,,assumed this was complying w/ Police Officer ,46.61.022,https://app.leg.wa.gov/rcw/default.aspx?cite=46.61.022
578,pierce,FALSE REPORT OF CRIME,6,,gross misdemeanor,public order,,,9A.84.040,https://app.leg.wa.gov/rcw/default.aspx?cite=9A.84.040
785,pierce,INDECENT LIBERTIES,6,,class B felony,sex,,,9a.44.100,http://app.leg.wa.gov/rcw/default.aspx?cite=9a.44.100
919,pierce,MANSLAUGHTER 1,6,,class A felony,violent,,,9A.32.060,http://apps.leg.wa.gov/RCW/default.aspx?cite=9A.32.060
945,pierce,MINOR OPER VEH AFTER ALCOHOL CONS,6,,misdemeanor,public order,,,46.61.503,http://app.leg.wa.gov/rcw/default.aspx?cite=46.61.503
1072,pierce,PHYS CNTRL W/ PRIOR CONVICTION,6,,class C felony,public order,could be gross misdemeanor,prior convicitons elevate charge to felony ,http://app.leg.wa.gov/rcw/supdefault.aspx?cite=46.61.504,http://app.leg.wa.gov/rcw/supdefault.aspx?cite=46.61.504
1141,pierce,POSSESSION OF DANGEROUS WEAPON,6,,gross misdemeanor,public order,,,9.41.250,http://app.leg.wa.gov/RCW/default.aspx?cite=9.41.250
1166,pierce,PROM PROST 1,6,,class B felony,sex,,,9A.88.070,https://app.leg.wa.gov/rcw/default.aspx?cite=9A.88.070
1357,pierce,SEX/KIDNAP OFFNDR FAIL TO REGISTER,6,,class C felony,public order,,,9A.44.132,http://app.leg.wa.gov/rcw/default.aspx?cite=9A.44.132
1535,pierce,TRANS-CONS/INTOX,6,,misdemeanor,drug,,I think this is consuming intoxicants on transit but am unsure ,9.91#9.91.025,http://app.leg.wa.gov/rcw/default.aspx?cite=9.91&full=true#9.91.025
1560,pierce,UNL POS AMM W/I MAN METH,6,,class C felony,drug,,"Unlawful Possession of Ammonia with inention of manufacturing meth, I assume this is also covered by unlawful manufacture but I am unsure ",69.50.401,http://app.leg.wa.gov/rcw/default.aspx?cite=69.50.401
1743,pierce,WEAPONS PROHIBITED IN CERTAIN PLACE,6,,gross misdemeanor,public order,,,9.41.300,http://app.leg.wa.gov/rcw/default.aspx?cite=9.41.300
5,pierce,AGGR MURDER 1,5,,class A felony,violent,,,10.95.020,http://apps.leg.wa.gov/RCW/default.aspx?cite=10.95.020
227,pierce,COMM W/MINOR FOR IMMORAL PURPOSE,5,,gross misdemeanor,sex,can be Class C,can be felony if previous sexual offender,9.68a.090,http://apps.leg.wa.gov/rcw/default.aspx?cite=9.68a.090
334,pierce,CUST INTER,5,,class C felony,violent,,based on custodial interference 1,9A.40.060,https://app.leg.wa.gov/rcw/default.aspx?cite=9A.40.060
576,pierce,FALSE INS CLAIM,5,,gross misdemeanor,public order,,if claim is above $1500 it is class C felony ,48.30.230,https://app.leg.wa.gov/rcw/default.aspx?cite=48.30.230
727,pierce,HOLD FBI,5,,other,other,,,,
758,pierce,ILL DRUG CONDUCT,5,,civil infraction,drug,,,,
875,pierce,MAL HARASS /DV,5,,class C felony,violent ,,,9a.36.080,http://apps.leg.wa.gov/RCW/default.aspx?cite=9a.36.080
891,pierce,MAL PLACEMENT OF EXPLOSIVES,5,,class A/B felony,violent ,,felony class depends on degree of charge ,70.74.270,https://app.leg.wa.gov/rcw/default.aspx?cite=70.74.270
1056,pierce,PED/VEH OBS TRAFFIC,5,,misdemeanor,public order,,illegal but charge not specified,46.61.570,https://app.leg.wa.gov/rcw/default.aspx?cite=46.61.570
1070,pierce,PHONE HARASS -NON DV,5,,gross misdemeanor,public order,could be gross misd?,,9.61.230,http://app.leg.wa.gov/rcw/default.aspx?cite=9.61.230
1111,pierce,POSSESS COUNTERFEIT SUBSTANCE,5,,class C felony,property,,,69.50.4011,https://app.leg.wa.gov/rcw/default.aspx?cite=69.50.4011
1169,pierce,PROMOTING SEXUAL ABUSE OF A MINOR,5,,class A felony,sex,,"RCW charge includes word ""commerical"" that is absent in the listed charge ",9.68A.101,https://app.leg.wa.gov/rcw/default.aspx?cite=9.68A.101
1183,pierce,PUB DIST-VEH SND SYS,5,,misdemeanor,public order,,,,
1354,pierce,SEX VIOL PRED,5,,other,other,,"I think this is a label on an inmate, Sexually Violent Predator, not a charge ",http://app.leg.wa.gov/rcw/supdefault.aspx?cite=71.09,http://app.leg.wa.gov/rcw/supdefault.aspx?cite=71.09&full=true
1358,pierce,SEXUAL ASSAULT,5,,unknown,sex,,doesn't appear to be a charge in WA called sexual assault ,9a.44,http://app.leg.wa.gov/rcw/default.aspx?cite=9a.44
1412,pierce,TELEPHONE HARASSMENT,5,,gross misdemeanor,public order,,,9.61.230,http://app.leg.wa.gov/rcw/default.aspx?cite=9.61.230
1569,pierce,UNL USE FIREARM BY MINOR,5,,unknown,public order,,unlawful possession specified but not unlawful use ,,
1622,pierce,UPCS (MJ) NON,5,,unknown,drug,likely a felony,"unclear as to MJ, if it is marijuana it depends on the gram amount",,
1630,pierce,URINATING IN PUBLIC(SIP),5,,civil infraction,public order,,,http://www.codepublishing.com/WA/Pacific/html/Pacific09/Pacific0926.html,http://www.codepublishing.com/WA/Pacific/html/Pacific09/Pacific0926.html
3,pierce,ABANDONMNT 3,4,,gross misdemeanor,public order,,,9A.42.080,https://app.leg.wa.gov/rcw/default.aspx?cite=9A.42.080
55,pierce,ASLT POL DOG,4,,class C felony,violent,,,9A.76.200,https://app.leg.wa.gov/rcw/default.aspx?cite=9A.76.200
133,pierce,ATT UNL IMPRIS/DV,4,,gross misdemeanor,violent,,based on unlawful imprisonment with criminal attempt modifier,9A.40.040,https://app.leg.wa.gov/rcw/default.aspx?cite=9A.40.040
251,pierce,CONSP DEL CS,4,,class C felony,drug,,felony,,
277,pierce,CONTEMPT - TRUANCY CRT ORD,4,,misdemeanor,public order,,?,,
285,pierce,COURT ORDER VIOLATION,4,,misdemeanor,public order,,?,,
298,pierce,CRIM TRESP 1 /DV,4,,gross misdemeanor,property,,,9A.52.070,http://apps.leg.wa.gov/RCW/default.aspx?cite=9A.52.070
371,pierce,DESTRUCTION OF PROPERTY,4,,gross misdemeanor,public order,,"? malicious mischief refers to property damage, but 3 levels",,
401,pierce,DIST TABACCO W/O LICENSE,4,,class C felony,public order,Not sure this is a felony,,82.26.190,http://app.leg.wa.gov/rcw/default.aspx?cite=82.26.190
506,pierce,ENDANG W/CONTR SUB,4,,class B felony,drug,,,9A.42.100,https://app.leg.wa.gov/rcw/default.aspx?cite=9A.42.100
552,pierce,FAIL YLD EMERG VEH,4,,gross misdemeanor,public order,,,46.61.212,https://app.leg.wa.gov/rcw/default.aspx?cite=46.61.212
564,pierce,FAILURE TO OBEY FLAGMAN,4,,misdemeanor,public order,,,46.61.015,https://app.leg.wa.gov/rcw/default.aspx?cite=46.61.015
602,pierce,FEL POSS F/A 2,4,,class C felony,public order,,,9.41.040,http://app.leg.wa.gov/rcw/default.aspx?cite=9.41.040
733,pierce,HOLD WSH,4,,other,other,,,,
774,pierce,IND COND/EXPOS TO PER <14,4,,gross misdemeanor,sex,,,9A.88.010,http://apps.leg.wa.gov/RCW/default.aspx?cite=9A.88.010
819,pierce,INVOLV MINOR IN CS TRANSACTION,4,,class C felony,drug,,,69.50.4015,https://app.leg.wa.gov/rcw/default.aspx?cite=69.50.4015
859,pierce,LOADED GUN IN VEHICLE,4,,misdemeanor,public order,,,77.15.460,https://app.leg.wa.gov/rcw/default.aspx?cite=77.15.460
949,pierce,MINOR REMAIN PUB PLACE/CONS LIQ,4,,misdemeanor,public order,,,46.61.503,http://app.leg.wa.gov/rcw/default.aspx?cite=46.61.503
1059,pierce,PEDESTRIAN INTERF,4,,misdemeanor,public order,,Oddly anti-homeless?Seems to be a Seattle ordinance ,http://www.codepublishing.com/WA/UniversityPlace/html/UniversityPlace09/UniversityPlace0955.html,http://www.codepublishing.com/WA/UniversityPlace/html/UniversityPlace09/UniversityPlace0955.html
1074,pierce,PHYS CTRL W/ PRIOR CONVICTION,4,,class C felony,public order,could be gross misd,,http://app.leg.wa.gov/rcw/supdefault.aspx?cite=46.61.504,http://app.leg.wa.gov/rcw/supdefault.aspx?cite=46.61.504
1087,pierce,POSS INCENDIARY DEV,4,,class B felony,public order,,,9.40.120,https://app.leg.wa.gov/rcw/default.aspx?cite=9.40.120
1186,pierce,PUB INDECENCY,4,,misdemeanor,sex,,,9A.88.010,
1262,pierce,RECKLESS ENDANGERMENT,4,,gross misdemeanor,public order,,,9a.36.050,http://app.leg.wa.gov/RCW/default.aspx?cite=9a.36.050
1318,pierce,RIOT-ARMED,4,,class C felony,violent,,"I think it would be considered criminal mischief with deadly weapon, no rcw for rioting renders a charge ",9A.84.010,https://app.leg.wa.gov/rcw/default.aspx?cite=9A.84.010
1367,pierce,SOL OCCUPANT OF VEH PUB ROAD,4,,misdemeanor,public order,,unlawful but no charge specified,46.61.255,http://app.leg.wa.gov/RCW/default.aspx?cite=46.61.255
1390,pierce,SWITCHED LICENSE PLATES,4,,civil infraction,public order,,"its a traffic violation to display improper liscense plates, and considered unlawful to switch plates but I can't find any charges ",46.16A.200,http://app.leg.wa.gov/rcw/default.aspx?cite=46.16A.200
1500,pierce,THREATENED BODILY INJURY-NON DV,4,,gross misdemeanor,violent ,,considered harrassment,9a.46.020,http://apps.leg.wa.gov/RCW/default.aspx?cite=9a.46.020
1623,pierce,UPCS (MJ) PERS,4,,unknown,drug,likely a felony,"unclear as to MJ, if it is marijuana it depends on the gram ",,
1624,pierce,UPCS BY PERSON NOT A PRISONER,4,,class C felony,drug,,don't know why this is specified ,69.50.401,http://app.leg.wa.gov/rcw/default.aspx?cite=69.50.401
1656,pierce,VEHICLE OPR-REFUSE COMPLY POLICE,4,,misdemeanor,public order,,,46.61.020,https://app.leg.wa.gov/rcw/default.aspx?cite=46.61.020
1,pierce,ABANDONMENT DEPENDENT PERSON 3,3,,gross misdemeanor,public order,,,9A.42.080,https://app.leg.wa.gov/rcw/default.aspx?cite=9A.42.080
4,pierce,AGG BEG,3,,misdemeanor,public order,,"Lakewood city ordinance, may be unconstiutional?",https://www.cityoflakewood.us/documents/police/crime_prevention_pamphlets_-_english/agressive_begging_brochure.pdf,https://www.cityoflakewood.us/documents/police/crime_prevention_pamphlets_-_english/agressive_begging_brochure.pdf
290,pierce,CRIM MISCHIEF WITH A DEADLY WEAPON,3,,class C felony,violent,,,9A.84.010,https://app.leg.wa.gov/rcw/default.aspx?cite=9A.84.010
291,pierce,CRIM MISTREAT 1,3,,class B felony,violent,,,9A.42.020,https://app.leg.wa.gov/rcw/default.aspx?cite=9A.42.020
363,pierce,DELIVER FIREARM TO INELIGIBLE PERSON,3,,FELONY CLASS C,public order,,,9.41.080,http://app.leg.wa.gov/rcw/default.aspx?cite=9.41.080
381,pierce,DISO PERS,3,,misdemeanor,public order,,,9A.84.030,https://app.leg.wa.gov/rcw/default.aspx?cite=9A.84.030
584,pierce,FALSE RPT,3,,gross misdemeanor,public order,,,9A.84.040,https://app.leg.wa.gov/rcw/default.aspx?cite=9A.84.040
625,pierce,FOOD STAMPS-TRAFFICKING,3,,class C felony,public order,,gross misdemeanor if stamp value <$100,9.91.142,https://app.leg.wa.gov/rcw/default.aspx?cite=9.91.142
669,pierce,HARASS-THREAT PROP DAMAGE,3,,class C felony,violent,gross misd. not felony,,9a.46.020,http://apps.leg.wa.gov/RCW/default.aspx?cite=9a.46.020
846,pierce,LEAVE CHLD UNATT/CAR,3,,misdemeanor,public order,,,46.61.685,https://app.leg.wa.gov/rcw/default.aspx?cite=46.61.685
873,pierce,MAKING/POSS OF AUTO THEFT TOOLS,3,,gross misdemeanor,property,,,9A.56.063,https://app.leg.wa.gov/rcw/default.aspx?cite=9A.56.063
939,pierce,MINOR IN POSSESSION OF PISTOL,3,,misdemeanor,public order,,,9.41.060,http://app.leg.wa.gov/RCW/default.aspx?cite=9.41.060
962,pierce,NEG DRIVING 1ST,3,,misdemeanor,public order,,,46.61.5249,http://app.leg.wa.gov/rcw/default.aspx?cite=46.61.5249
